id,peak,peak_Ito,peak_IKslow,Iss,tau_Ito,tau_IKslow
1310/26/2015Cell1,28.61,16.66,5.96,6.86,128.059936523437,2092.93408203125
10/26/2015Cell2,46.48,15.38,23.79,8.5,173.338073730468,1628.74060058593
10/26/2015Cell3,68.61,31.6,28.91,9.19,114.166770935058,1335.34753417968
10/26/2015Cell4,21.5,10.74,6.81,4.58,133.416442871093,1726.67883300781
10/26/2015Cell5,94.22,48.42,39.46,8.01,89.653450012207,1175.33520507812
10/26/2015Cell6,72.97,34.23,30.86,8.84,100.284271240234,1342.62353515625
10/26/2015Cell7,50.78,25.84,17.31,8.62,102.805541992187,1270.03381347656
10/26/2015Cell8,59.76,29.01,22.72,8.64,116.628814697265,1395.83459472656
10/26/2015Cell11,63.34,35.94,21.04,7.93,88.8546142578125,1221.91284179687
12.110/29/2015Cell1,47.05,25.03,16.92,5.37,117.390014648437,1265.60290527343
10/29/2015Cell3,63.29,26.83,25.57,9.22,122.178565979003,1350.07165527343
10/29/2015Cell4,71.66,35.54,28.67,8.59,104.80101776123,1130.72009277343
10/29/2015Cell5,29.42,17.87,5.78,6.51999999999999,103.753684997558,1717.34716796875
10/29/2015Cell7,56.58,27.33,23.42,6.03,114.342475891113,1207.32263183593
10/29/2015Cell8,32.67,18.74,10.42,3.96,113.679878234863,1348.49645996093
10/29/2015Cell9,48.25,25.97,15.84,6.53,107.342674255371,1252.71643066406
1310/20/2015Cell1,49.72,22.54,20.21,7.58,104.972061157226,1405.84252929687
10/20/2015Cell2,34.73,14.99,12.78,7.01999999999999,107.630187988281,1606.45385742187
10/20/2015Cell4,65.98,39.72,19.61,6.38,78.8159408569334,1122.43225097656
10/20/2015Cell6,49.78,21.71,20.41,7.92,105.972862243652,1269.22595214843
13.110/21/2015Cell1,39.85,17.27,16.4,6.62,130.067626953125,1425.45727539062
10/21/2015Cell3,74.68,42.39,25.43,7.21,88.5111694335937,1244.73693847656
13.310/22/2015Cell1,27.59,8.53,10.95,8.35,114.919158935546,1659.296875
10/22/2015Cell3,14.96,5.13,4.99,5.81,104.247184753417,2915.98583984375
11/10/2015Cell1,49.79,32.53,11.98,5.32,93.2362365722656,1320.46179199218
12.311/10/2015Cell3,91.37,38.78,43.71,10.37,81.0275115966796,1136.82055664062
11/10/2015Cell4,43.55,27.24,11.78,5.49,92.499168395996,1229.31286621093
11/10/2015Cell5,23.07,11.55,6.79,4.8,86.9458465576171,1426.16833496093
11/23/2015Cell1,68.58,30.6,29.32,8.41,125.484283447265,1147.30053710937
15.311/23/2015Cell2,56.64,26.27,21.48,10.18,104.516563415527,1428.46862792968
11/23/2015Cell3,44.43,21.39,16.66,7.59,110.37589263916,1653.46850585937
11/23/2015Cell4,78.51,27.75,40.13,11.55,121.146965026855,1453.34216308593
11/23/2015Cell5,69.95,26.37,35,9.58,107.084144592285,1403.10998535156
11/23/2015Cell7,48.07,12.42,26.79,9.87,165.44236755371,1555.4296875
11/23/2015Cell8,46.48,20.36,19.29,8.31,109.132080078125,1590.71606445312
