id,peak,peak_Ito,peak_IKslow,Iss,tau_Ito,tau_IKslow
1410/27/2015Cell1,14.59,9.56,1.68,4.01,128.779693603515,2075.46264648437
10/27/2015Cell2,20.42,9.14,5.92,6.41,138.057678222656,1771.41711425781
10/27/2015Cell4,11.74,5.31,2.47,4.56,124.386260986328,2940.55053710937
10/27/2015Cell5,12.91,5.14,2.39,5.59,112.642517089843,1906.7333984375
10/27/2015Cell6,10.69,4.65,1.77,4.48,121.917945861816,1834.44799804687
10/27/2015Cell7,13.07,6.26,2.23,4.81,134.220413208007,1691.07006835937
10/27/2015Cell8,16.69,8.78999999999999,3.23,5.46,133.155212402343,2114.68359375
10/27/2015Cell9,13.1,7.73,1.22,4.48,123.774185180664,3177.09716796875
10/27/2015Cell10,11.79,5.29,1.87,4.8,117.122940063476,1684.53491210937
14.110/28/2015Cell1,32.79,18.9,6.36,7.64,103.766174316406,1293.49548339843
10/28/2015Cell2,28.14,15.96,5.81,7.51,103.454414367675,2170.5810546875
10/28/2015Cell3,28.05,20.16,4.34,4.35,88.2211380004881,1566.19067382812
10/28/2015Cell4,18,9.11,4.83,5.3,99.8742218017577,2368.13305664062
12.711/03/2015Cell1,56.44,46.22,5.01,6.31,99.4979934692381,1407.33203125
11/03/2015Cell2,54.71,39.71,9.48,6.09,97.2419204711914,1365.51379394531
11/03/2015Cell3,56.06,35.72,13.97,6.9,97.4053649902343,1185.22094726562
11/03/2015Cell4,69.33,56.5,5.81,6.29,92.1767425537109,1225.3857421875
11/03/2015Cell5,18.69,5.67,7.83,6.42,149.330871582031,2128.2578125
11/03/2015Cell6,9.49,3.55,2.22,3.92,118.531661987304,1796.99182128906
11/03/2015Cell9,13.52,5.98,3.09,5.3,102.947471618652,2687.4951171875
12.611/04/2015Cell1,30.78,24.68,3.35,3.35,107.726318359375,1490.47766113281
11/04/2015Cell2,77.69,64.56,5.65,9.39,97.7058944702148,896.389282226562
11/04/2015Cell3,11.01,5.71,1.44,4,128.540954589843,1970.693359375
11/04/2015Cell5,24.78,17.83,3.03,4.58,101.106895446777,2072.5771484375
11/04/2015Cell6,40.71,30.9,3.58,7.13,87.3270416259765,1683.64196777343
11/04/2015Cell7,47.02,32.6,8.76,6.41,103.832000732421,1329.51806640625
11/04/2015Cell8,23.5,16.35,3.5,4.23,108.584213256835,1918.25695800781
11/04/2015Cell9,49.79,40.28,4.63,5.14,106.428329467773,1474.40612792968
11/04/2015Cell10,31.11,21.61,4.59,4.9,100.321968078613,1153.93981933593
11/04/2015Cell11,63.35,45.12,12.91,6.51999999999999,82.5349578857421,1240.45458984375
13.311/09/2015Cell1,13.66,2.33,5.98,5.26999999999999,238.82762145996,1865.38232421875
11/09/2015Cell2,23.48,15.47,3.87,4.73,86.3394699096679,1809.62316894531
14.911/20/2015Cell2,14.05,3.88,5.76999999999999,5.22,122.718025207519,2546.83276367187
11/20/2015Cell3,12.56,5.21,3.51,4.66,92.5610275268553,3262.23486328125
11/20/2015Cell3,15.22,7.79,3.57,4.88,85.0284881591796,2463.474609375
15.411/24/2015Cell2,24.98,15.87,3.82,6.86,99.3604888916015,2542.60717773437
11/24/2015Cell4,34.72,25.07,4.61,5.55,89.3215103149414,1461.21606445312
11/24/2015Cell5,13.17,4.33,4.55,4.56,126.087287902832,1674.619140625
